center_i,center_j,left_endpoint,right_endpoint
2,3,-8.185352771872449969953703724733929458880486815498,-6.8414888839530925122001105758970156671239889801178
1,4,-8.185352771872449969953703724733929458880486815498,-7.5745055500909238527929795661716959171729877994161
1,3,-7.1366745105761149712566130155659373290084347232971,-5.3246088137670178188221598191036269218245452047745
1,2,-5.5757413968621851325110679827191709049205666467773,-3.5869669298607066248997943957143322206919185944519
1,1,-3.7047340738375811576358175524116916933854952998707,-2.159399255265069567107134369785750307006495254516
0,1,-2.497903580281207937525639076160603202633697563283,-0.80067141733903309514227138007545792258679712355954
0,0,-1.0,1.0
0,-1,0.80067141733903309514227138007545792258679712355954,2.497903580281207937525639076160603202633697563283
-1,-1,2.159399255265069567107134369785750307006495254516,3.7047340738375811576358175524116916933854952998707
-1,-2,3.5869669298607066248997943957143322206919185944519,5.5757413968621851325110679827191709049205666467773
-1,-3,5.3246088137670178188221598191036269218245452047745,7.1366745105761149712566130155659373290084347232971
-2,-3,6.8414888839530925122001105758970156671239889801178,8.185352771872449969953703724733929458880486815498
-1,-4,7.5745055500909238527929795661716959171729877994161,8.185352771872449969953703724733929458880486815498
