N,lower_bound,upper_bound,status
1,1.0,1.0,proved exact
2,1.0,1.0,proved exact
3,0.8660254037844386467637232,0.8660254037844386467637232,proved exact
4,0.7071067811865475244008444,0.7071067811865475244008444,proved exact
5,0.60938286408070965467,0.60938286408070965467,proved exact
6,0.555905211416588705,0.555905211416588705,proved exact
7,0.5,0.5,proved exact
8,0.4450418679126288085778051,0.4450418679126288085778051,proved exact
9,0.4142135623730950488016887,0.4142135623730950488016887,proved exact
10,0.3949308436346984575671173,0.3949308436346984575671173,proved exact
11,0.3015113445777636226468121,0.3800836183960471303686811,known construction upper
12,0.2886751345948128822545744,0.3611412062116287468400144,known construction upper
13,0.2773500981126145610091709,0.3466454569274916747637241,known construction upper
14,0.2672612419124243846845535,0.3317320342762538364440928,known construction upper
15,0.2581988897471611256786177,0.3181429308593175240048229,known construction upper
16,0.25,0.308219801898635428575239,known construction upper
17,0.2425356250363329735189065,0.2985315892565092451647287,known construction upper
18,0.2357022603955158414669481,0.2901677176406343947945789,known construction upper
19,0.2294157338705617659072096,0.2773500981126906604798802,known construction upper
20,0.2236067977499789696409174,0.2708481784399887004209127,known construction upper
21,0.2182178902359923812660975,0.2628450724036361643498142,known construction upper
22,0.2132007163556104342984377,0.2532514598351445011923808,known construction upper
23,0.2085144140570747626781495,0.249953776586058955774654,known construction upper
24,0.204124145231931508183107,0.2453016501685291616957551,known construction upper
25,0.2,0.239146311738103436129105,known construction upper
26,0.1961161351381840319241625,0.2773500981126145610091709,lattice construction upper
27,0.1924500897298752548363829,0.2773500981126145610091709,lattice construction upper
28,0.1889822365046136136072583,0.2773500981126145610091709,lattice construction upper
29,0.1856953381770518631465762,0.2773500981126145610091709,lattice construction upper
30,0.1825741858350553711523233,0.2773500981126145610091709,lattice construction upper
31,0.1796053020267749007135313,0.2773500981126145610091709,lattice construction upper
32,0.1767766952966368811002111,0.2773500981126145610091709,lattice construction upper
33,0.1740776559556978381772913,0.2773500981126145610091709,lattice construction upper
34,0.1714985851425088373786516,0.2773500981126145610091709,lattice construction upper
35,0.1690308509457033155019237,0.2773500981126145610091709,lattice construction upper
36,0.1666666666666666666666667,0.2773500981126145610091709,lattice construction upper
37,0.1643989873053572888918834,0.2,lattice construction upper
38,0.1622214211307625381644787,0.2,lattice construction upper
39,0.1601281538050871334832537,0.2,lattice construction upper
40,0.1581138830084189665999447,0.2,lattice construction upper
41,0.1561737618886060655241029,0.2,lattice construction upper
42,0.1543033499620919102610945,0.2,lattice construction upper
43,0.152498570332604666333584,0.1889822365046136136072583,lattice construction upper
44,0.150755672288881811323406,0.1889822365046136136072583,lattice construction upper
45,0.1490711984999859797606116,0.1889822365046136136072583,lattice construction upper
46,0.1474419561548971334579251,0.1889822365046136136072583,lattice construction upper
47,0.1458649914978945558496994,0.1889822365046136136072583,lattice construction upper
48,0.1443375672974064411272872,0.1889822365046136136072583,lattice construction upper
49,0.1428571428571428571428571,0.1889822365046136136072583,lattice construction upper
50,0.1414213562373095048801689,0.1889822365046136136072583,lattice construction upper
51,0.1400280084028009803529294,0.1889822365046136136072583,lattice construction upper
52,0.1386750490563072805045854,0.1889822365046136136072583,lattice construction upper
53,0.137360563948689023982968,0.1889822365046136136072583,lattice construction upper
54,0.136082763487954338788738,0.1889822365046136136072583,lattice construction upper
55,0.1348399724926484172492981,0.1643989873053572888918834,lattice construction upper
56,0.1336306209562121923422767,0.1643989873053572888918834,lattice construction upper
57,0.1324532357065043806532752,0.1643989873053572888918834,lattice construction upper
58,0.1313064328597225566493347,0.1643989873053572888918834,lattice construction upper
59,0.1301889109808238673859269,0.1643989873053572888918834,lattice construction upper
60,0.1290994448735805628393088,0.1643989873053572888918834,lattice construction upper
61,0.1280368799328959736742577,0.152498570332604666333584,lattice construction upper
62,0.1270001270001905003175006,0.152498570332604666333584,lattice construction upper
63,0.1259881576697424090715055,0.152498570332604666333584,lattice construction upper
64,0.125,0.152498570332604666333584,lattice construction upper
65,0.1240347345892084561902556,0.152498570332604666333584,lattice construction upper
66,0.1230914909793327327342407,0.152498570332604666333584,lattice construction upper
67,0.1221694443563052234321448,0.152498570332604666333584,lattice construction upper
68,0.1212678125181664867594532,0.152498570332604666333584,lattice construction upper
69,0.1203858530857692007620908,0.152498570332604666333584,lattice construction upper
70,0.1195228609334393639968817,0.152498570332604666333584,lattice construction upper
71,0.118678165819385332825833,0.152498570332604666333584,lattice construction upper
72,0.1178511301977579207334741,0.152498570332604666333584,lattice construction upper
73,0.1170411471961305639434472,0.1428571428571428571428571,lattice construction upper
74,0.1162476387438192806990469,0.1428571428571428571428571,lattice construction upper
75,0.1154700538379251529018298,0.1428571428571428571428571,lattice construction upper
76,0.1147078669352808829536048,0.1428571428571428571428571,lattice construction upper
77,0.1139605764596379488364466,0.1428571428571428571428571,lattice construction upper
78,0.1132277034144595750610775,0.1428571428571428571428571,lattice construction upper
79,0.1125087900926023905074866,0.1428571428571428571428571,lattice construction upper
80,0.1118033988749894848204587,0.1428571428571428571428571,lattice construction upper
81,0.1111111111111111111111111,0.1428571428571428571428571,lattice construction upper
82,0.1104315260748465442265099,0.1428571428571428571428571,lattice construction upper
83,0.1097642599896903479752485,0.1428571428571428571428571,lattice construction upper
84,0.1091089451179961906330487,0.1428571428571428571428571,lattice construction upper
85,0.1084652289093280860000268,0.1280204163454451462540349,lattice construction upper
86,0.1078327732034384157269351,0.1280204163454451462540349,lattice construction upper
87,0.1072112534837794832822354,0.1280204163454451462540349,lattice construction upper
88,0.1066003581778052171492189,0.1280204163454451462540349,lattice construction upper
89,0.1059997880006359978800074,0.1280204163454451462540349,lattice construction upper
90,0.1054092553389459777332965,0.1280204163454451462540349,lattice construction upper
91,0.1048284836721918295772112,0.125,lattice construction upper
92,0.1042572070285373813390747,0.125,lattice construction upper
93,0.1036951694730425268361294,0.125,lattice construction upper
94,0.1031421246258793407249881,0.125,lattice construction upper
95,0.1025978352085154095456675,0.125,lattice construction upper
96,0.1020620726159657540915535,0.125,lattice construction upper
97,0.1015346165133619043478991,0.1221694443563052234321448,lattice construction upper
98,0.1010152544552210749144063,0.1221694443563052234321448,lattice construction upper
99,0.1005037815259212075489374,0.1221694443563052234321448,lattice construction upper
100,0.1,0.1221694443563052234321448,lattice construction upper
